i,x01,x02,x03,|x0-xExact|,xN1j,xN2j,xN3j,Nj,xN1g,xN2g,xN3g,Ng,
0,0.3293861829721638,-0.35144645598820357,-0.7007651291895769,0.7702388134001033,0.0473548,0.0589345,0.0694631,32,0.0473323,0.0589570,0.0694833,7,
1,-0.2613442081615509,-0.47943071900762435,-0.510897070306163,0.5803707545166894,0.0473864,0.0589644,0.0694876,33,0.0473256,0.0589830,0.0694791,6,
2,0.3621385276715656,0.36317350914120605,0.7124580222421029,0.6429843380315765,0.0473528,0.0589326,0.0694616,33,0.0473998,0.0589395,0.0694652,7,
3,0.3916955894045999,0.34454107002635315,-0.5089120162291341,0.5783857004396604,0.0473534,0.0589331,0.0694620,27,0.0473217,0.0589516,0.0694882,7,
4,0.897642738827118,0.057612645792225026,-0.5994505423402798,0.8502743177744864,0.0473523,0.0589321,0.0694612,29,0.0473253,0.0589540,0.0694864,7,
5,-0.2832789161365068,-0.4432401882003436,-0.5479435109086044,0.6174171951191307,0.0473866,0.0589646,0.0694878,33,0.0473040,0.0589859,0.0694855,6,
6,-0.7502638379051827,-0.8414030626499773,-0.17773298280838468,0.90035043107103,0.0473824,0.0589606,0.0694846,35,0.0473823,0.0589544,0.0694673,7,
7,-0.8597671370758497,0.7101438027862028,-0.2083470147536024,0.9071355581284813,0.0473503,0.0589302,0.0694596,30,0.0473289,0.0589468,0.0694870,7,
8,-0.3046712077332605,-0.8380904528815414,-0.7276547261117201,0.897037821302594,0.0473823,0.0589605,0.0694844,35,0.0473515,0.0589949,0.0694674,6,
9,-0.8071637572416637,-0.06523055652956056,-0.033758650088816955,0.8545321782942953,0.0473833,0.0589615,0.0694853,33,0.0473684,0.0589535,0.0694722,6,
10,0.2837126519364348,-0.5076179008660218,-0.909433204338755,0.9789068885492813,0.0473834,0.0589616,0.0694854,33,0.0473241,0.0589599,0.0694853,7,
11,-0.452207605101157,0.32181289176792127,0.3484642494842354,0.49957602615378854,0.0473538,0.0589338,0.0694625,22,0.0473879,0.0589303,0.0694714,6,
12,0.8203756826832647,0.8563252947198428,0.1581146080029623,0.7973779262987901,0.0473850,0.0589630,0.0694866,34,0.0473477,0.0589424,0.0694818,7,
13,0.10079355864833395,0.10608520401049915,-0.2029306103865529,0.2724042945970792,0.0473543,0.0589340,0.0694627,26,0.0473493,0.0589498,0.0694795,7,
14,-0.6520444009912927,0.90913599421485,-0.721570006613403,0.8501886257937974,0.0473818,0.0589601,0.0694841,31,0.0473582,0.0589461,0.0694774,8,
15,-0.30517988101645765,0.9299865703864318,-0.35439141290134457,0.8710392019653792,0.0473862,0.0589642,0.0694875,26,0.0473623,0.0589457,0.0694761,8,
16,-0.1388086700998039,0.9643617979337016,0.978071801981379,0.9085981177708526,0.0473827,0.0589609,0.0694848,34,0.0474189,0.0588922,0.0694707,6,
17,0.5850045679580473,0.16253853135784735,0.9113473632946181,0.8418736790840917,0.0473502,0.0589301,0.0694595,33,0.0474193,0.0589385,0.0694589,7,
18,-0.1791067403084563,0.5252884257494741,-0.7304210043219708,0.7998946885324971,0.0473538,0.0589335,0.0694623,30,0.0473587,0.0589470,0.0694770,8,
19,0.08190906798235398,-0.3707288508325781,-0.12920697819893623,0.42967621925363075,0.0473823,0.0589605,0.0694845,31,0.0473698,0.0589515,0.0694722,7,
20,-0.3568022337494796,0.3859144730710553,0.7684772387450189,0.6990035545344926,0.0473845,0.0589626,0.0694862,30,0.0474027,0.0589388,0.0694644,7,
21,0.42354052246426743,0.8637858868655646,0.33792300978328305,0.8048385184445119,0.0473824,0.0589606,0.0694845,34,0.0473591,0.0589406,0.0694785,7,
22,0.8225862949290106,0.1535006897795701,0.24447100773187014,0.775217873876379,0.0473543,0.0589340,0.0694627,33,0.0473994,0.0589361,0.0694662,6,
23,0.19153908383451346,-0.47982716935907566,-0.9435100008438158,1.012983685054342,0.0473847,0.0589628,0.0694864,33,0.0473209,0.0589601,0.0694863,7,
